contrast,metric,n,mean_diff,sd_diff,ci_low,ci_high,cohen_dz,p_value,mcse
R3-R2,search_rounds,40,0.03286040224076316,0.19534145287598764,-0.029612825207899672,0.09533362968942599,0.16822032270654075,0.293908754844841,0.030886195626728494
R3-R2,applications_per_hire,40,0.09858120672228957,0.5860243586279628,-0.0888384756236989,0.28600088906827803,0.16822032270654091,0.2939087548448406,0.09265858688018545
R3-R2,fill_rate,40,0.0025000000000000022,0.048854397312341646,-0.013124394260540694,0.0181243942605407,0.05117246629851372,0.7479374553201579,0.007724558461090405
R3-R2,vacancy_duration,40,-0.029166666666666664,0.29614690856565,-0.12387904289121392,0.0655457095578806,-0.09848715560777492,0.5369840740244811,0.046824937654254134
R3-R2,credential_sensitivity,40,-0.0020335236125442403,0.008662637563314474,-0.004803969510383676,0.000736922285295196,-0.23474647273205082,0.14567047320723575,0.0013696832622302401
R3-R2,investment_alignment,40,-0.004290069266778983,0.018908992882608323,-0.010337458572981632,0.0017573200394236663,-0.2268798393131135,0.15928290604785458,0.002989774288447759
R3-R2,total_gap_reduction,40,0.004849039180535007,0.00169459436400299,0.004307081610460056,0.005390996750609959,2.861474865926352,1.4210873681347095e-20,0.0002679388950166949
R3-R2,evidence_conversion,40,0.07675465190141757,0.013740053695745246,0.0723603695458129,0.08114893425702224,5.586197376010653,3.143971458914062e-31,0.0021724932425784584
R3-R2,evidence_opportunity_gap,40,0.005833333333333331,0.08701687952309782,-0.021996014847928354,0.03366268151459502,0.06703680211590358,0.673911374244998,0.013758576708672777
R3-R0,placement_rate,40,-0.041249999999999995,0.02232481659269424,-0.048389822726876586,-0.034110177273123404,-1.8477195469323133,2.5973369728701563e-14,0.0035298634389216675
R3-R0,ground_truth_fit,40,0.03350721079923062,0.015583106541947556,0.028523491547537135,0.038490930050924105,2.150226638638058,2.193805505245216e-16,0.0024639054846812237
R3-R0,search_rounds,40,0.22552322162015742,0.1738714819842471,0.1699164239798538,0.28113001926046105,1.297068495916944,5.077677367021764e-10,0.02749149516095767
R3-R0,applications_per_hire,40,0.6778481569703494,0.5202649094741224,0.5114593667540245,0.8442369471866743,1.302890401844534,4.538403012345009e-10,0.08226110502997706
R3-R0,fill_rate,40,-0.08249999999999996,0.04464963318538848,-0.09677964545375314,-0.06822035454624678,-1.8477195469323127,2.5973369728702068e-14,0.007059726877843335
R3-R0,vacancy_duration,40,0.7708333333333333,0.33454374253528585,0.6638410538594922,0.8778256128071743,2.3041331680326675,2.2816819975913833e-17,0.05289601016842282
R3-R0,credential_sensitivity,40,-0.02986275489847705,0.012702089566840626,-0.03392508022113297,-0.025800429575821137,-2.351011204993792,1.1692173760523816e-17,0.0020083767037338976
R3-R0,investment_alignment,40,0.26356816247747006,0.017770494696237798,0.2578848825556292,0.2692514423993109,14.831785326340421,1.5001393804189083e-47,0.002809761919402673
R3-R0,total_gap_reduction,40,0.012814726610150363,0.0015900167208564957,0.012306214592927339,0.013323238627373387,8.059491728645119,2.6309842457128324e-37,0.0002514037177829339
R3-R0,evidence_conversion,40,0.07675465190141757,0.013740053695745246,0.0723603695458129,0.08114893425702224,5.586197376010653,3.143971458914062e-31,0.0021724932425784584
R3-R0,evidence_opportunity_gap,40,0.0475,0.10987885066454699,0.012359038732952313,0.08264096126704769,0.43229429242042605,0.009358774406609538,0.01737337173907372
